IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
EVERLY,KOBIETA,2
ESME,KOBIETA,2
LEYA,KOBIETA,2
NADIN,KOBIETA,2
DAMARIS,KOBIETA,2
TIA,KOBIETA,2
TALA,KOBIETA,2
KIMBERLY,KOBIETA,2
SAFIJA,KOBIETA,2
EMILIE,KOBIETA,2
FATIMA,KOBIETA,2
ROXANA,KOBIETA,2
LAWINIA,KOBIETA,2
ROXANNE,KOBIETA,2
NARINE,KOBIETA,2
LINH CHI,KOBIETA,2
VALERIE,KOBIETA,2
ANDŻELA,KOBIETA,2
KARMINA,KOBIETA,2
ALYSSIA,KOBIETA,2
ELZA,KOBIETA,2
SAMUELA,KOBIETA,2
MASZA,KOBIETA,2
ELIZABET,KOBIETA,2
SOLOMIA,KOBIETA,2
GALENA,KOBIETA,2
KALA,KOBIETA,2
MADLEN,KOBIETA,2
WIOLA,KOBIETA,2
INAYA,KOBIETA,2
ALEXIA,KOBIETA,2
LÉA,KOBIETA,2
SOLOMIYA,KOBIETA,2
NAILA,KOBIETA,2
LENE,KOBIETA,2
KAJRA,KOBIETA,2
EMI,KOBIETA,2
ASIYA,KOBIETA,2
MIKAELA,KOBIETA,2
